id,weight_in_tonnes,number_of_packages,origin,destination,CO2_in_grams
109824,0.001,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence & Space - Integrated 501093 658  Carretera de la Esclusa, 15    ES - 41011 Sevilla   SPAIN  RP
",136
107308,0.0,3,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence & Space - Integrated 501093 658  Carretera de la Esclusa, 15    ES - 41011 Sevilla   SPAIN  SP
",0
111515,0.009,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence & Space - Integrated 501093 662  Carretera de la Esclusa, 15    ES - 41011 Sevilla   SPAIN  RP
",2446
107290,0.001,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence & Space - Integrated 501093 662  Carretera de la Esclusa, 15    ES - 41011 Sevilla   SPAIN  SP
",136
118198,0.001,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence & Space - Integrated 501093 668  Carretera de la Esclusa, 15    ES - 41011 Sevilla   SPAIN  RP
",136
112045,0.001,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence & Space - Integrated 501093 668  Carretera de la Esclusa, 15    ES - 41011 Sevilla   SPAIN  RP
",136
115660,0.001,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence & Space - Integrated 501093 668  Carretera de la Esclusa, 15    ES - 41011 Sevilla   SPAIN  SP
",136
117352,0.023,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence and Space GmbH 400401 197  EF Series Prod.Qatar, Hangar    DE - 85077 Manching
",316
109053,0.015,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence and Space GmbH 400401 197  Eurofighter Series Produktion    DE - 85077 Manching
",206
109175,0.015,2,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence and Space GmbH 400401 672  EF Series Prod.Kuwait, Hangar    DE - 85077 Manching
",412
118049,0.099,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence and Space GmbH 400401 91  EF Series Prod.Qatar, Hangar    DE - 85077 Manching
",1359
118077,0.054,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence and Space GmbH 400401 91  Eurofighter Series Produktion    DE - 85077 Manching
",741
112107,0.009,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence and Space GmbH 400410 197  RECHLINGER STRASSE, GEB.207    DE - 85077 MANCHING
",123
112844,0.112,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"AIRBUS DEFENCE AND SPACE GMBH 500437 197  RECHLINER STRASSE, GEB.207    DE - 85077 MANCHING
",1531
115435,0.005,1,Pfänderstrasse  50-52  DE - 88161 Lindenberg,"Airbus Defence and Space GmbH 500437 669  Rechliner Strasse, Hangar 303    DE - 85077 Manching
",68
